team,targeted_productivity,smv,over_time,incentive,no_of_workers,Y
8,0.8,26.16,7080,98,59,0.940725424
1,0.75,3.94,960,0,8,0.8865
11,0.8,11.41,3660,50,30.5,0.800570492
12,0.8,11.41,3660,50,30.5,0.800570492
6,0.8,25.9,1920,50,56,0.800381944
7,0.8,25.9,6720,38,56,0.800125
2,0.75,3.94,960,0,8,0.755166667
3,0.75,28.08,6900,45,57.5,0.753683478
2,0.75,19.87,6000,34,55,0.753097531
1,0.75,28.08,6900,45,57.5,0.750427826
9,0.7,28.08,6900,44,57.5,0.721126957
10,0.75,19.31,6480,45,54,0.712205247
5,0.8,11.41,3660,50,30.5,0.707045902
10,0.65,3.94,960,0,8,0.705916667
8,0.75,2.9,960,0,8,0.676666667
4,0.75,3.94,2160,0,18,0.593055556
7,0.8,2.9,960,0,8,0.540729167
4,0.65,23.69,7200,0,60,0.52118
11,0.7,4.15,1440,0,12,0.436326389
4,0.8,4.15,6600,0,20,0.988024691
11,0.75,2.9,5640,0,17,0.987880435
9,0.8,4.15,960,0,8,0.956270833
3,0.75,3.94,1560,0,8,0.945277778
1,0.8,3.94,960,0,8,0.902916667
1,0.8,28.08,6300,50,56.5,0.800725314
3,0.8,28.08,6540,50,54.5,0.800322936
8,0.8,26.16,7080,50,59,0.800318644
12,0.8,26.16,7080,63,59,0.800318644
11,0.8,11.61,7080,50,29.5,0.800237288
5,0.8,11.61,7080,50,31.5,0.800148649
6,0.8,25.9,6720,50,56,0.800125
7,0.8,25.9,6720,38,56,0.800125
10,0.75,19.31,6480,56,54,0.787299691
2,0.8,4.15,960,0,8,0.782447917
2,0.75,19.87,6600,45,55,0.75024303
10,0.7,4.15,960,0,8,0.7018125
4,0.7,23.69,13800,0,60,0.700134038
9,0.7,28.08,6900,40,57.5,0.699965217
8,0.8,2.9,960,0,8,0.628333333
7,0.8,3.94,960,0,8,0.6253125
3,0.75,4.15,1560,0,8,0.991388889
9,0.8,3.94,960,0,8,0.931645833
1,0.8,3.94,960,0,8,0.915229167
6,0.8,11.61,6975,50,31,0.879714482
4,0.8,3.94,6600,0,20,0.861679012
9,0.8,26.16,7080,60,59,0.850569492
7,0.8,25.9,7020,60,56.5,0.850436438
8,0.8,25.9,6780,45,56.5,0.850345133
4,0.8,28.08,4260,50,55.5,0.800598058
1,0.8,26.16,7080,63,59,0.800318644
2,0.8,28.08,6660,50,55.5,0.800237838
12,0.8,11.61,6975,50,31,0.800030199
2,0.8,3.94,960,0,8,0.792104167
10,0.7,3.94,4320,0,18,0.759228395
11,0.75,19.31,6480,45,54,0.750348457
3,0.75,19.87,6600,45,55,0.75024303
10,0.7,28.08,6900,40,57.5,0.699965217
8,0.8,2.9,960,0,8,0.682708333
7,0.8,2.9,960,0,8,0.667604167
5,0.7,45.67,6960,26,58,0.603432184
11,0.75,4.15,960,0,8,0.345833333
1,0.8,3.94,1920,0,8,0.961059028
11,0.8,3.94,2400,0,10,0.939513889
4,0.8,3.94,3840,0,16,0.893663194
3,0.75,4.15,1920,0,8,0.875390625
9,0.8,26.16,7080,75,59,0.850569492
9,0.8,2.9,1920,0,8,0.820833333
2,0.8,3.94,960,0,8,0.804416667
7,0.8,25.9,6780,50,56.5,0.800684366
8,0.8,25.9,6780,38,56.5,0.800684366
1,0.8,26.16,7080,63,59,0.800318644
11,0.8,19.31,4800,50,55,0.800250962
6,0.8,11.61,7200,50,32,0.800246011
12,0.8,11.61,7200,50,32,0.800246011
2,0.8,28.08,6900,50,57.5,0.800076522
4,0.8,28.08,6900,50,57.5,0.800076522
10,0.75,2.9,960,0,8,0.763375
5,0.6,2.9,960,0,8,0.759270833
10,0.75,28.08,7020,45,58.5,0.7504
3,0.75,19.87,6600,45,55,0.75024303
7,0.8,3.94,960,0,8,0.676666667
8,0.8,2.9,960,0,8,0.664583333
5,0.6,21.98,6960,23,58,0.600028736
4,0.8,3.94,4440,0,18,0.966781346
1,0.8,3.94,1440,0,8,0.936496212
3,0.75,4.15,1800,0,10,0.899166667
11,0.8,4.15,2700,0,15,0.888686869
9,0.8,3.94,1440,0,8,0.858143939
1,0.8,26.16,10620,75,59,0.850502311
9,0.8,26.16,10620,75,59,0.850502311
10,0.75,3.94,1440,0,8,0.809640152
2,0.8,3.94,1440,0,8,0.805909091
2,0.8,28.08,10350,50,57.5,0.800594466
4,0.8,28.08,10350,50,57.5,0.800594466
3,0.8,19.87,9900,50,55,0.800273829
12,0.8,11.61,5310,50,31.5,0.800140969
7,0.8,25.9,10170,38,56.5,0.800128721
8,0.8,25.9,10170,38,56.5,0.800128721
6,0.8,11.61,4470,38,31.5,0.80007657
10,0.75,28.08,10530,45,58.5,0.750545455
11,0.75,19.31,9900,45,55,0.750057851
8,0.8,2.9,1440,0,8,0.681060606
5,0.65,21.98,10440,35,58,0.649983281
7,0.8,2.9,1440,0,8,0.61625
1,0.8,3.94,1440,0,8,0.951420455
9,0.8,3.94,1440,0,8,0.880530303
1,0.8,26.16,10620,75,59,0.850502311
9,0.8,26.16,10620,75,59,0.850502311
8,0.8,25.9,10170,60,56.5,0.850136766
3,0.75,4.15,2700,0,15,0.83
4,0.8,3.94,4440,0,18,0.827186544
2,0.8,3.94,1440,0,8,0.813371212
10,0.75,3.94,1440,0,8,0.805909091
7,0.8,2.9,1440,0,8,0.804640152
2,0.8,28.08,10350,63,57.5,0.800594466
4,0.8,28.08,10350,50,57.5,0.800594466
6,0.8,11.41,5490,50,30.5,0.800343766
3,0.8,19.87,9900,50,55,0.800273829
12,0.8,11.61,5670,50,31.5,0.800246753
7,0.8,25.9,10170,50,56.5,0.800128721
10,0.75,28.08,10530,69,58.5,0.8
5,0.7,21.98,9720,40,58,0.700480831
8,0.8,2.9,1440,0,8,0.681060606
6,0.8,2.9,1800,0,10,0.666515152
11,0.8,31.83,9900,40,55,0.412119835
5,0.7,4.15,1440,0,8,0.330113636
1,0.8,3.94,1440,0,8,0.947689394
4,0.8,3.94,12600,0,20,0.919905405
9,0.8,26.16,10620,88,59,0.900215716
9,0.8,3.94,1440,0,8,0.891723485
1,0.8,26.16,10620,75,59,0.850502311
4,0.8,28.08,10530,75,58.5,0.850181818
7,0.8,25.9,10170,60,56.5,0.850136766
8,0.8,25.9,10170,60,56.5,0.850136766
2,0.8,3.94,1440,0,8,0.835757576
5,0.7,4.15,3840,0,8,0.821354167
2,0.8,28.08,10050,63,58.5,0.800497246
3,0.8,19.87,9900,50,55,0.800273829
12,0.8,11.61,15120,63,31.5,0.800107143
6,0.8,11.41,14640,50,30.5,0.800024932
10,0.75,28.08,10530,69,58.5,0.8
10,0.75,3.94,1440,0,8,0.779791667
8,0.8,2.9,1440,0,8,0.735984848
3,0.75,4.15,2160,0,12,0.712626263
7,0.8,2.9,1440,0,8,0.681060606
11,0.8,4.15,900,0,5,0.515606061
11,0.35,12.52,25920,38,54,0.349951389
5,0.7,42.41,10260,0,57,0.233705476
1,0.8,3.94,2160,0,8,0.985
3,0.75,4.15,2760,0,12,0.930340376
4,0.8,3.94,6000,0,20,0.911589744
9,0.8,3.94,1440,0,8,0.858143939
9,0.8,26.16,10620,75,59,0.851174114
7,0.8,25.9,10170,60,56.5,0.850136766
8,0.8,25.9,10170,60,56.5,0.850136766
10,0.8,3.94,1440,0,8,0.846950758
11,0.8,4.15,1440,0,8,0.817424242
2,0.8,3.94,1440,0,8,0.817102273
4,0.8,28.08,10440,63,58,0.801028213
2,0.8,28.08,10350,63,57.5,0.800594466
12,0.8,11.61,4710,50,31.5,0.800346445
6,0.8,11.41,5490,50,30.5,0.800343766
1,0.8,26.16,10620,63,59,0.800117103
10,0.8,28.08,10530,63,58.5,0.8
3,0.75,19.87,7080,45,56,0.750098351
11,0.5,12.52,9540,38,53,0.673245283
7,0.8,2.9,1440,0,8,0.670075758
8,0.8,2.9,1440,0,8,0.628882576
