Ticker,Name,City,State,Industry,Sector,FullTimeEmployees,AuditRisk,BoardRisk,OverallRisk,PreviousClose,Open,DividendRate,PayoutRatio,Beta,TrailingPE,ForwardPE,Volume,AverageVolume,MarketCap,PriceToSalesTrailing12Months,TwoHundredDayAverage,EnterpriseValue,ProfitMargins,FloatShares,SharesOutstanding,SharesShort,HeldPercentInstitutions,ShortRatio,ShortPercentOfFloat,BookValue,PriceToBook,EarningsQuarterlyGrowth,NetIncomeToCommon,TrailingEps,ForwardEps,PegRatio,EnterpriseToRevenue,EnterpriseToEbitda,52WeekChange,CurrentPrice,TargetMeanPrice,TargetMedianPrice,RecommendationMean,RecommendationKey,NumberOfAnalystOpinions,TotalCash,TotalCashPerShare,Ebitda,TotalDebt,QuickRatio,CurrentRatio,TotalRevenue,DebtToEquity,RevenuePerShare,ReturnOnAssets,ReturnOnEquity,FreeCashflow,OperatingCashflow,EarningsGrowth,RevenueGrowth,GrossMargins,EbitdaMargins,OperatingMargins
MMM,3M Company,Saint Paul,MN,Conglomerates,Industrials,85000,4,8,9,101.66,101.93,2.8,0.6167,1.012,,13.126923,7866227,5071820,56658636800,1.735174,86.24528,68010659840,-0.21569,552608686,553361024,9278900,0.66797996,1.93,0.0168,8.794,11.643167,-0.049,-7042999808,-12.73,7.8,-2.71,2.083,8.349,0.2195841,102.39,108.57,105,2.6,hold,14,10970999808,19.826,8145999872,22256001024,1.195,1.643,32653000704,451.166,58.89,0.07582,-0.69286,8903374848,6172000256,-0.051,-0.003,0.4455,0.24947001,0.21704
AOS,A.O. Smith Corporation,Milwaukee,WI,Specialty Industrial Machinery,Industrials,12000,3,10,10,83.92,83.96,1.28,0.32209998,1.179,21.854546,19.34253,1486354,897356,12340813824,3.1928008,79.0361,12183823360,0.14936,118524122,120784000,3919028,0.99197,4.03,0.0327,12.83,6.558067,0.163,577299968,3.85,4.35,2.06,3.152,14.766,0.18590558,84.14,88.23,90,2.7,hold,10,303100000,2.067,825100032,146100000,1.005,1.654,3865200128,7.764,25.937,0.14313,0.31443,454975008,657000000,0.19,0.013,0.38689,0.21347,0.19657
ABT,Abbott Laboratories,North Chicago,IL,Medical Devices,Healthcare,114000,9,7,7,106.57,106.66,2.2,0.648,0.739,32.934578,20.568094,10329146,5751516,1.84E+11,4.5606723,106.205,1.92E+11,0.13961,1728587805,1739629952,14768830,0.77015996,2.62,0.0085,22.309,4.7388945,-0.071,5608000000,3.21,5.14,2.84,4.766,18.538,-0.025711894,105.72,125.18,125,2,buy,21,6650999808,3.823,10368000000,14705000448,0.945,1.596,40326000640,37.664,23.181,0.060900003,0.14762,4607124992,7143000064,-0.067,0.022,0.55265,0.2571,0.15405
ABBV,AbbVie Inc.,North Chicago,IL,Drug Manufacturers - General,Healthcare,50000,2,5,6,172.13,172.7,6.2,1.7827001,0.582,50.71131,14.128524,12308051,5292501,3.01E+11,5.530699,160.03716,3.57E+11,0.11016,1762300728,1765869952,15927790,0.72739,3.04,0.009,4.535,37.572216,4.728,5951000064,3.36,12.06,2.46,6.566,13.678,0.2626158,170.39,184.08,185.11,2.2,buy,25,18069000192,10.232,26115999744,74358996992,0.723,0.936,54402998272,924.059,30.775,0.07705,0.56244,23611500544,22685999104,4.964,0.007,0.69174004,0.48005,0.28294
ACN,Accenture plc,Dublin,,Information Technology Services,Technology,750000,1,3,2,306.16,307.03,5.16,0.45700002,1.207,28.320808,23.97052,8481762,3331462,1.94E+11,3.0017464,330.04355,1.93E+11,0.10785,625188017,626384000,7159801,0.73772,2.4,0.0114,44.276,6.9784985,-0.039,6953448960,10.91,12.89,3.44,3.001,17.325,0.03890252,308.98,352.26,350,2.1,buy,22,5542094848,8.848,11167068160,4601543168,1.029,1.157,64475844608,16.078,102.894,0.12244,0.26,7932467200,9150984192,-0.02,-0.006,0.32580003,0.1732,0.16447
ADBE,Adobe Inc.,San Jose,CA,Software - Infrastructure,Technology,29945,1,6,1,522.95,530,0,,1.269,48.057655,25.907722,6614086,3497091,2.39E+11,11.698131,543.6006,2.38E+11,0.24861999,447765250,448000000,8007830,0.8626,2.99,0.0179,33.058,16.136488,0.215,5079000064,11.1,20.59,2.09,11.628,30.283,0.11246896,533.44,610.32,625,2,buy,32,8064999936,17.962,7843999744,6089999872,1.021,1.164,20429000704,41.029,45.037,0.15628,0.34223998,6490124800,6584000000,0.238,0.102,0.88241994,0.38396,0.35506
AMD,"Advanced Micro Devices, Inc.",Santa Clara,CA,Semiconductors,Technology,26000,8,4,6,161.78,161.76,0,,1.686,233.66666,28.842575,61334699,54163248,2.61E+11,11.429723,146.3295,2.58E+11,0.04895,1605937136,1616310016,34802025,0.72952,0.72,0.0216,34.733,4.6419826,,1116000000,0.69,5.59,1.39,11.297,67.126,0.49967444,161.23,187.37,190,1.9,buy,41,6034999808,3.734,3836999936,2998000128,1.715,2.639,22799998976,5.335,14.113,0.00537,0.020130001,2385499904,1702000000,,0.022,0.50561,0.16829,0.00658
AES,The AES Corporation,Arlington,VA,Utilities - Diversified,Utilities,9600,3,1,4,18.86,18.47,0.68,0.9181,1.106,25.301369,8.879807,17911853,8098377,13126019072,1.0489068,17.2359,46098014208,0.04235,706900114,710667008,18330108,0.96658,2.21,0.039300002,4.081,4.5258517,1.861,517000000,0.73,2.08,1.31,3.684,13.522,-0.10816032,18.47,22.91,23,2.1,buy,8,2388000000,3.36,3408999936,30478000128,0.436,0.778,12513999872,391.647,18.56,0.03244,-0.014780001,-6414000128,2696000000,1.857,-0.048,0.20209,0.27241,0.17634001
AFL,AFLAC Incorporated,Columbus,GA,Insurance - Life,Financial Services,12785,2,5,6,89.76,89.77,2,0.1936,0.954,9.864686,13.03343,5577544,2182500,50952466432,2.6349726,82.10045,54274506752,0.27667,563057305,568222016,14820924,0.60542,6.42,0.026199998,41.273,2.1726067,0.582,5350000128,9.09,6.88,1.88,2.807,8.586,0.32687187,89.67,85.75,84,2.8,hold,12,8439000064,14.852,6321500160,11761000448,1.36,1.531,19337000960,49.968,32.937,0.030250002,0.24699,4804250112,3148999936,0.675,0.133,0.48679,0.32691002,0.40784
A,"Agilent Technologies, Inc.",Santa Clara,CA,Diagnostics & Research,Healthcare,17600,8,4,8,132.73,132.85,0.94,0.2185,1.068,31.57583,23.173914,4461292,1757696,38877151232,5.898521,130.15344,39932137472,0.18844,290634675,291760992,4238036,0.9236,3.07,0.0164,21.311,6.2526393,0.02,1242000000,4.22,5.75,5.13,6.059,24.772,0.1257075,133.25,137.28,135.5,2.5,buy,16,1671000064,5.727,1612000000,2726000128,1.491,2.147,6591000064,43.869,22.533,0.07818,0.20708999,924249984,1896000000,0.029,-0.084,0.50630003,0.24458,0.23712999
APD,"Air Products and Chemicals, Inc",Allentown,PA,Specialty Chemicals,Basic Materials,23000,4,5,7,272.07,268.81,7.08,0.6347,0.851,24.697737,20.336065,2500376,1515487,60669530112,4.9922266,261.1176,73783607296,0.20323999,221314423,222306000,3411482,0.84894997,2.21,0.0154,67.085,4.068123,0.302,2462500096,11.05,13.42,3.37,6.071,17.93,-0.047068655,272.91,277.51,279,2.4,buy,21,2646400000,11.904,4115099904,14339000320,1.207,1.492,12152800256,87.781,54.644,0.05179,0.16115999,-2761762560,3276600064,0.305,-0.084,0.31402,0.33861,0.22732
ABNB,"Airbnb, Inc.",San Francisco,CA,Travel Services,Consumer Cyclical,6907,9,10,10,147.88,148.76,0,,1.188,20.049599,29.212893,7648402,3844388,94953627648,9.27191,143.75775,86150586368,0.48228002,422869465,441500000,13379727,0.79124,3.04,0.0307,12.415,12.0475235,1.256,4938999808,7.46,5.12,1.76,8.412,51.961,0.21473241,149.57,152.42,151.82,2.8,hold,30,11093000192,17.474,1658000000,2289999872,0.797,1.442,10241000448,29.002,16.052,0.045560002,0.74907,3074125056,4220000000,1.301,0.178,0.82863,0.1619,0.04715
AKAM,"Akamai Technologies, Inc.",Cambridge,MA,Software - Infrastructure,Technology,10250,3,2,3,89.36,89.48,0,,0.685,22.174562,13.153846,4806732,1694080,13544027136,3.4878592,107.9563,16442257408,0.16118999,149353991,152316992,7800318,0.9714,4.08,0.059299998,30.403,2.9247112,0.806,625940992,4.01,6.76,2.15,4.234,14.801,0.005313754,88.92,115.27,115,2.4,buy,17,1674688000,10.995,1110920960,4572958208,2.956,3.245,3883192064,98.688,25.63,0.048060004,0.14218001,551434752,1466818048,0.79,0.078,0.60271,0.28608,0.16965
ALB,Albemarle Corporation,Charlotte,NC,Specialty Chemicals,Basic Materials,9000,7,6,7,93.79,93,1.6,0.5797,1.614,34.297104,12.043258,5567445,2643870,11125106688,1.3247823,131.8282,15239505920,0.040170003,117016228,117527000,13591619,0.96633005,5.57,0.132,79.109,1.196577,-0.998,325760000,2.76,7.86,2.14,1.815,-48.059,-0.5796999,94.66,149.38,145.5,2.3,buy,24,2055812992,17.492,-317096992,3667872000,1.643,2.839,8397686784,31.084,71.548,-0.02676,0.03862,-2525260544,702294976,,-0.473,-0.00485,-0.03776,-0.10560001
ARE,Alexandria Real Estate Equities,Pasadena,CA,REIT - Office,Real Estate,568,5,10,9,115.34,115.67,5.2,4.6916,1.133,108.93457,32.92655,1936393,800822,20384362496,6.898371,115.8584,36604268544,0.06644,172473248,174883008,4281214,0.97796,5.45,0.0293,107.045,1.0888878,1.19,184074000,1.07,3.54,-5.76,12.387,20.516,0.017902374,116.56,143.58,140,1.6,buy,12,722176000,4.129,1784144000,12598740992,2.842,3.002,2954952960,55.365,17.26,0.01291,0.01666,1471867520,1666136960,1.205,0.097,0.70539004,0.60378,0.28123
