Ticker,Name,Industry,Sector,Long_Business_Summary,Full_Time_Employees,Audit_Risk,Board_Risk,Compensation_Risk,Shareholder_Rights_Risk,Overall_Risk,Previous_Close,Open,Fifty_Two_Week_Low,Fifty_Two_Week_High,Dividend_Rate,Payout_Ratio,Beta,Trailing_PE,Forward_PE,Volume,Regular_Market_Volume,Average_Volume,Market_Cap,Price_To_Sales_Trailing_12_Months,Fifty_Day_Average,Two_Hundred_Day_Average,Float_Shares,Shares_Outstanding,Shares_Short,Shares_Short_Prior_Month,Held_Percent_Institutions,Short_Ratio,Short_Percent_Of_Float,Implied_Shares_Outstanding,Book_Value,Price_To_Book,Earnings_Quarterly_Growth,Enterprise_Value,Profit_Margins,Net_Income_To_Common,Trailing_EPS,Forward_EPS,PEG_Ratio,Enterprise_To_Revenue,Enterprise_To_EBITDA,Fifty_Two_Week_Change,Last_Dividend_Value,Current_Price,Target_High_Price,Target_Low_Price,Target_Mean_Price,Target_Median_Price,Recommendation_Mean,Recommendation_Key,Number_Of_Analyst_Opinions,Total_Cash,Total_Cash_Per_Share,EBITDA,Total_Debt,Quick_Ratio,Current_Ratio,Total_Revenue,Debt_To_Equity,Revenue_Per_Share,Return_On_Assets,Return_On_Equity,Free_Cash_Flow,Operating_Cash_Flow,Earnings_Growth,Revenue_Growth,Gross_Margins,EBITDA_Margins,Operating_Margins,Trailing_PEG_Ratio
MMM,3M Company,Conglomerates,Industrials,"3M Company provides diversified technology services in the United States and internationally. The company's Safety and Industrial segment offers industrial abrasives and finishing for metalworking applications; autobody repair solutions; closure systems for personal hygiene products, masking, and packaging materials; electrical products and materials for construction and maintenance, power distribution, and electrical original equipment manufacturers; structural adhesives and tapes; respiratory, hearing, eye, and fall protection solutions; and natural and color-coated mineral granules for shingles. Its Transportation and Electronics segment provides ceramic solutions; attachment/bonding products, films, sound, and temperature management for transportation vehicles; premium large format graphic films for advertising and fleet signage; light management films and electronics assembly solutions; packaging and interconnection solutions; semiconductor production materials; data centers solutions; and reflective signage for highway, and vehicle safety. The company's Consumer segment provides consumer bandages, braces, supports, and consumer respirators; home cleaning products; retail abrasives, paint accessories, car care DIY products, picture hanging, and consumer air quality solutions; and stationery products. It offers its products through e-commerce and traditional wholesalers, retailers, jobbers, distributors, and dealers. 3M Company was founded in 1902 and is headquartered in Saint Paul, Minnesota.",85000,4,8,10,4,9,102.39,102.18,71.36288,106.04,2.8,0.6167,1.012,,13.17564,1408252,1408252,5071820,56868909056,1.7416136,97.808,86.24528,552608686,553361024,9278900,8177324,0.66797996,1.93,0.0168,553361024,8.794,11.686378,-0.049,68010659840,-0.21569,-7042999808,-12.73,7.8,-2.73,2.083,8.349,0.2195841,0.7,102.77,140,87,108.57,105,2.6,hold,14,10970999808,19.826,8145999872,22256001024,1.195,1.643,32653000704,451.166,58.89,0.07582,-0.69286,8903374848,6172000256,-0.051,-0.003,0.4455,0.24947001,0.21704,
AOS,A.O. Smith Corporation,Specialty Industrial Machinery,Industrials,"A. O. Smith Corporation manufactures and markets residential and commercial gas and electric water heaters, boilers, heat pumps, tanks, and water treatment products in North America, China, Europe, and India. The company offers water heaters for residences, restaurants, hotels, office buildings, laundries, car washes, and small businesses; boilers for hospitals, schools, hotels, and other large commercial buildings, as well as homes, apartments, and condominiums; and water treatment products comprising point-of-entry water softeners, well water solutions, and whole-home water filtration products, and point-of-use carbon and reverse osmosis products for residences, restaurants, hotels, and offices. It also provides commercial water treatment and filtration product; expansion tanks, commercial solar water heating systems, swimming pool and spa heaters, and related products and parts; and electric wall-hung, gas tankless, combi-boiler, and heat pump and solar water heaters. The company offers its products under the A. O. Smith, State, Lochinvar, Hague, Water-Right, Master Water, Atlantic Filter, and Water Tec brands. It distributes its products through independent wholesale plumbing distributors, as well as to retail channels consisting of hardware and home center chains, and manufacturer representative firms; and offers Aquasana branded products directly to consumers through e-commerce channels. A. O. Smith Corporation was founded in 1874 and is headquartered in Milwaukee, Wisconsin.",12000,3,10,7,10,10,84.14,84.33,64.14,89.96,1.28,0.32209998,1.179,22.070131,19.533335,366560,366560,897356,12462550016,3.224296,84.3624,79.0361,118524122,120784000,3919028,3657516,0.99197,4.03,0.0327,146670000,12.83,6.6227593,0.163,12183823360,0.14936,577299968,3.85,4.35,2.06,3.152,14.766,0.18590558,0.32,84.97,95,73,88.23,90,2.9,hold,10,303100000,2.067,825100032,146100000,1.005,1.654,3865200128,7.764,25.937,0.14313,0.31443,454975008,657000000,0.19,0.013,0.38689,0.21347,0.19657,
ABT,Abbott Laboratories,Medical Devices,Healthcare,"Abbott Laboratories, together with its subsidiaries, discovers, develops, manufactures, and sells health care products worldwide. It operates in four segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices. The company provides generic pharmaceuticals for the treatment of pancreatic exocrine insufficiency, irritable bowel syndrome or biliary spasm, intrahepatic cholestasis or depressive symptoms, gynecological disorder, hormone replacement therapy, dyslipidemia, hypertension, hypothyroidism, Ménière's disease and vestibular vertigo, pain, fever, inflammation, and migraine, as well as provides anti-infective clarithromycin, influenza vaccine, and products to regulate physiological rhythm of the colon. It also offers laboratory and transfusion medicine systems in the areas of immunoassay, clinical chemistry, hematology, and transfusion; molecular diagnostics polymerase chain reaction instrument systems that automate the extraction, purification, and preparation of DNA and RNA from patient samples, and detect and measure infectious agents; point of care systems; cartridges for testing blood gas, chemistry, electrolytes, coagulation, and immunoassay; rapid diagnostics lateral flow testing products; molecular point-of-care testing for HIV, SARS-CoV-2, influenza A and B, RSV, and strep A; cardiometabolic test systems; drug and alcohol test, and remote patient monitoring and consumer self-test systems; and informatics and automation solutions for laboratories. In addition, the company provides pediatric and adult nutritional products; rhythm management, electrophysiology, heart failure, vascular, and structural heart devices for the treatment of cardiovascular diseases; diabetes care products, such as glucose and blood glucose monitoring systems; and neuromodulation devices for the management of chronic pain and movement disorders. Abbott Laboratories was founded in 1888 and is based in North Chicago, Illinois.",114000,9,7,9,2,7,105.72,106.29,89.67,121.64,2.2,0.648,0.739,32.89408,20.70392,1955205,1955205,5751516,1.84E+11,4.555064,105.2918,106.205,1728587805,1739629952,14768830,12937099,0.77015996,2.62,0.0085,1763469952,22.309,4.733067,-0.071,1.92E+11,0.13961,5608000000,3.21,5.1,2.84,4.766,18.538,-0.025711894,0.55,105.59,143,107,125.18,125,2,buy,21,6650999808,3.823,10368000000,14705000448,0.945,1.596,40326000640,37.664,23.181,0.060900003,0.14762,4607124992,7143000064,-0.067,0.022,0.55265,0.2571,0.15405,4.251
ABBV,AbbVie Inc.,Drug Manufacturers - General,Healthcare,"AbbVie Inc. discovers, develops, manufactures, and sells pharmaceuticals worldwide. The company offers Humira, an injection for autoimmune and intestinal Behçet's diseases, and pyoderma gangrenosum; Skyrizi to treat moderate to severe plaque psoriasis, psoriatic disease, and Crohn's disease; Rinvoq to treat rheumatoid and psoriatic arthritis, ankylosing spondylitis, atopic dermatitis, axial spondyloarthropathy, ulcerative colitis, and Crohn's disease; Imbruvica for the treatment of adult patients with blood cancers; Epkinly to treat lymphoma; Elahere to treat cancer; and Venclexta/Venclyxto to treat blood cancers. It also provides facial injectables, plastics and regenerative medicine, body contouring, and skincare products; botox therapeutic; Vraylar for depressive disorder; Duopa and Duodopa to treat advanced Parkinson's disease; Ubrelvy for the acute treatment of migraine in adults; and Qulipta for episodic and chronic migraine. In addition, the company offers Ozurdex for eye diseases; Lumigan/Ganfort and Alphagan/Combigan for the reduction of elevated intraocular pressure in patients with open angle glaucoma or ocular hypertension; Restasis to increase tear production; and other eye care products. Further, it provides Mavyret/Maviret to treat chronic hepatitis C virus genotype 1-6 infection; Creon, a pancreatic enzyme therapy; Lupron to treat advanced prostate cancer, endometriosis and central precocious puberty, and patients with anemia caused by uterine fibroids; Linzess/Constella to treat irritable bowel syndrome with constipation and chronic idiopathic constipation; and Synthroid for hypothyroidism. It has collaborations with Calico Life Sciences LLC; REGENXBIO Inc.; Janssen Biotech, Inc.; and Genentech, Inc., as well as collaboration with Tentarix Biotherapeutics, LP to develop conditionally-active and multi-specific biologics for oncology and immunology. The company was incorporated in 2012 and is headquartered in North Chicago, Illinois.",50000,2,5,3,9,6,170.39,171.13,130.96,182.89,6.2,1.7827001,0.582,51.5506,14.362355,2031876,2031876,5292501,3.06E+11,5.6222334,163.9016,160.03716,1762300728,1765869952,15927790,13536080,0.72739,3.04,0.009,1765869952,4.535,38.19405,4.728,3.57E+11,0.11016,5951000064,3.36,12.06,2.44,6.566,13.678,0.2626158,1.55,173.21,207,170,184.08,185.11,2.2,buy,25,18069000192,10.232,26115999744,74358996992,0.723,0.936,54402998272,924.059,30.775,0.07705,0.56244,23611500544,22685999104,4.964,0.007,0.69174004,0.48005,0.28294,0.4467
ACN,Accenture plc,Information Technology Services,Technology,"Accenture plc, a professional services company, provides strategy and consulting, industry X, song, and technology and operation services worldwide. The company offers application services, including agile transformation, DevOps, application modernization, enterprise architecture, software and quality engineering, data management; intelligent automation comprising robotic process automation, natural language processing, and virtual agents; and application management services, as well as software engineering services; strategy and consulting services; data and analytics strategy, data discovery and augmentation, data management and beyond, data democratization, and industrialized solutions comprising turnkey analytics and artificial intelligence (AI) solutions; metaverse; and sustainability services. It also provides change management, HR transformation and delivery, organization strategy and design, talent strategy and development, and leadership and culture services; digital commerce; infrastructure services, including cloud infrastructure managed, cloud and data center, network, digital workplace, database platforms, service management, and cloud and infrastructure security services; data-enabled operating models; technology consulting and AI services; and technology consulting services. In addition, the company offers engineering and R&D digitization, smart connected products, product as-a-service enablement, capital projects, intelligent asset management, digital industrial workforce, and autonomous robotic systems; business process outsourcing; and services related to technology innovation. Further, it provides cloud, ecosystem, marketing, security, supply chain management, zero-based transformation, customer experience, finance consulting, mergers and acquisitions, and sustainability services. The company has a collaboration with Salesforce, Inc. to develop Salesforce Life Sciences Cloud. The company was founded in 1951 and is based in Dublin, Ireland.",750000,1,3,4,4,2,308.98,305.36,278.69,387.51,5.16,0.45700002,1.207,28.249313,23.965788,2298307,2298307,3331462,1.93E+11,2.9941688,302.2258,330.04355,625181753,626384000,7159801,7147713,0.73772,2.4,0.0114,626384000,44.276,6.9608817,-0.039,1.93E+11,0.10785,6953448960,10.91,12.86,3.48,3.001,17.325,0.03890252,1.29,308.2,440,293,353.35,350,2.1,buy,22,5542094848,8.848,11167068160,4601543168,1.029,1.157,64475844608,16.078,102.894,0.12244,0.26,7932467200,9150984192,-0.02,-0.006,0.32580003,0.1732,0.16447,1.9938
ADBE,Adobe Inc.,Software - Infrastructure,Technology,"Adobe Inc., together with its subsidiaries, operates as a diversified software company worldwide. It operates through three segments: Digital Media, Digital Experience, and Publishing and Advertising. The Digital Media segment offers products, services, and solutions that enable individuals, teams, and enterprises to create, publish, and promote content; and Document Cloud, a unified cloud-based document services platform. Its flagship product is Creative Cloud, a subscription service that allows members to access its creative products. This segment serves content creators, students, workers, marketers, educators, enthusiasts, and communicators. The Digital Experience segment provides an integrated platform and set of applications and services that enable brands and businesses to create, manage, execute, measure, monetize, and optimize customer experiences from analytics to commerce. This segment serves marketers, advertisers, agencies, publishers, merchandisers, merchants, web analysts, data scientists, developers, and executives across the C-suite. The Publishing and Advertising segment offers products and services, such as e-learning solutions, technical document publishing, web conferencing, document and forms platform, web application development, and high-end printing, as well as Advertising Cloud offerings. It also provides consulting, technical support, and learning services. The company offers its products and services directly to enterprise customers through its sales force and local field offices, as well as to end users through app stores and through its website at adobe.com. It also distributes products and services through distributors, value-added resellers, systems integrators, software vendors and developers, retailers, and original equipment manufacturers. The company was formerly known as Adobe Systems Incorporated and changed its name to Adobe Inc. in October 2018. Adobe Inc. was founded in 1982 and is headquartered in San Jose, California.",29945,1,6,6,1,1,533.44,531.38,433.97,638.25,0,0,1.269,47.211708,25.451675,1485447,1485447,3497091,2.35E+11,11.492211,477.7892,543.6006,447765250,448000000,8007830,7193329,0.8626,2.99,0.0179,450825984,33.058,15.852442,0.215,2.38E+11,0.24861999,5079000064,11.1,20.59,2.13,11.628,30.283,0.11246896,0.0065,524.05,732.52,450,610.32,625,2,buy,32,8064999936,17.962,7843999744,6089999872,1.021,1.164,20429000704,41.029,45.037,0.15628,0.34223998,6490124800,6584000000,0.238,0.102,0.88241994,0.38396,0.35506,1.979
AMD,"Advanced Micro Devices, Inc.",Semiconductors,Technology,"Advanced Micro Devices, Inc. operates as a semiconductor company worldwide. It operates through Data Center, Client, Gaming, and Embedded segments. The company offers x86 microprocessors and graphics processing units (GPUs) as an accelerated processing unit, chipsets, data center, and professional GPUs; and embedded processors, and semi-custom system-on-chip (SoC) products, microprocessor and SoC development services and technology, data processing unites, field programmable gate arrays (FPGA), and adaptive SoC products. It provides processors under the AMD Ryzen, AMD Ryzen PRO, Ryzen Threadripper, Ryzen Threadripper PRO, AMD Athlon, AMD Athlon PRO, and AMD PRO A-Series brand names; graphics under the AMD Radeon graphics and AMD Embedded Radeon graphics; and professional graphics under the AMD Radeon Pro graphics brand name. In addition, the company offers data center graphics under the Radeon Instinct and Radeon PRO V-series brands, as well as servers under the AMD Instinct accelerators brand; server microprocessors under the AMD EPYC brands; low power solutions under the AMD Athlon, AMD Geode, AMD Ryzen, AMD EPYC, AMD R-Series, and G-Series brands; FPGA products under the Virtex-6, Virtex-7, Virtex UltraScale+, Kintex-7, Kintex UltraScale, Kintex UltraScale+, Artix-7, Artix UltraScale+, Spartan-6, and Spartan-7 brands; adaptive SOCs under the Zynq-7000, Zynq UltraScale+ MPSoC, Zynq UltraScale+ RFSoCs, Versal HBM, Versal Premium, Versal Prime, Versal AI Core, Versal AI Edge, Vitis, and Vivado brands; and compute and network acceleration board products under the Alveo brand. It serves original equipment and design manufacturers, public cloud service providers, system integrators, independent distributors, and add-in-board manufacturers through its direct sales force, and sales representatives. Advanced Micro Devices, Inc. was incorporated in 1969 and is headquartered in Santa Clara, California.",26000,8,4,8,3,6,161.23,159.75,93.12,227.3,0,0,1.686,231.08984,28.524506,33704958,33704958,54163248,2.58E+11,11.3036785,158.9702,146.3295,1605937136,1616310016,34802025,32304929,0.72952,0.72,0.0216,1616310016,34.733,4.590792,,2.58E+11,0.04895,1116000000,0.69,5.59,1.39,11.297,67.126,0.49967444,0,159.452,250,125,187.37,190,1.9,buy,41,6034999808,3.734,3836999936,2998000128,1.715,2.639,22799998976,5.335,14.113,0.00537,0.020130001,2385499904,1702000000,,0.022,0.50561,0.16829,0.00658,1.4797
AES,The AES Corporation,Utilities - Diversified,Utilities,"The AES Corporation, together with its subsidiaries, operates as a diversified power generation and utility company in the United States and internationally. The company owns and/or operates power plants to generate and sell power to customers, such as utilities, industrial users, and other intermediaries; owns and/or operates utilities to generate or purchase, distribute, transmit, and sell electricity to end-user customers in the residential, commercial, industrial, and governmental sectors; and generates and sells electricity on the wholesale market. It uses various fuels and technologies to generate electricity, such as coal, gas, hydro, wind, solar, and biomass, as well as renewables comprising energy storage and landfill gas. The company owns and/or operates a generation portfolio of approximately 34,596 megawatts and distributes power to 2.6 million customers. The company was formerly known as Applied Energy Services, Inc. and changed its name to The AES Corporation in April 2000. The AES Corporation was incorporated in 1981 and is headquartered in Arlington, Virginia.",9600,3,1,9,4,4,18.47,18.57,11.43,22.6,0.68,0.9181,1.106,25.965754,9.112981,2350377,2350377,8098377,13470693376,1.0764499,19.202,17.2359,706900114,710667008,18330108,12288033,0.96658,2.21,0.039300002,714435008,4.081,4.6446953,1.861,46098014208,0.04235,517000000,0.73,2.08,1.31,3.684,13.522,-0.10816032,0.173,18.955,25,20,22.91,23,2.1,buy,8,2388000000,3.36,3408999936,30478000128,0.436,0.778,12513999872,391.647,18.56,0.03244,-0.014780001,-6414000128,2696000000,1.857,-0.048,0.20209,0.27241,0.17634001,1.3792
AFL,AFLAC Incorporated,Insurance - Life,Financial Services,"Aflac Incorporated, through its subsidiaries, provides supplemental health and life insurance products. The company operates through Aflac Japan and Aflac U.S. segments. The Aflac Japan segment offers cancer, medical, nursing care, work leave, GIFT, and whole and term life insurance products, as well as WAYS and child endowment plans under saving type insurance products in Japan. The Aflac U.S. segment provides cancer, accident, short-term disability, critical illness, hospital indemnity, dental, vision, long-term care and disability, and term and whole life insurance products in the United States. It sells its products through sales associates, brokers, independent corporate agencies, individual agencies, and affiliated corporate agencies. Aflac Incorporated was founded in 1955 and is headquartered in Columbus, Georgia.",12785,2,5,1,9,6,89.67,89.5,67.02,91.15,2,0.1936,0.954,10.012101,13.228198,1008491,1008491,2182500,51713888256,2.674349,85.8382,82.10045,563057305,568222016,14820924,12761555,0.60542,6.42,0.026199998,568222016,41.273,2.2050736,0.582,54274506752,0.27667,5350000128,9.09,6.88,1.88,2.807,8.586,0.32687187,0.5,91.01,95,77,85.75,84,2.8,hold,12,8439000064,14.852,6321500160,11761000448,1.36,1.531,19337000960,49.968,32.937,0.030250002,0.24699,4804250112,3148999936,0.675,0.133,0.48679,0.32691002,0.40784,
A,"Agilent Technologies, Inc.",Diagnostics & Research,Healthcare,"Agilent Technologies, Inc. provides application focused solutions to the life sciences, diagnostics, and applied chemical markets worldwide. The company operates in three segments: Life Sciences and Applied Markets, Diagnostics and Genomics, and Agilent CrossLab. The Life Sciences and Applied Markets segment offers liquid chromatography systems and components; liquid chromatography mass spectrometry systems; gas chromatography systems and components; gas chromatography mass spectrometry systems; inductively coupled plasma mass spectrometry instruments; atomic absorption instruments; microwave plasma-atomic emission spectrometry instruments; inductively coupled plasma optical emission spectrometry instruments; raman spectroscopy; cell analysis plate based assays; flow cytometer; real-time cell analyzer; cell imaging systems; microplate reader; laboratory software; information management and analytics; laboratory automation and robotic systems; dissolution testing; and vacuum pumps, and measurement technologies. The Diagnostics and Genomics segment focuses on genomics, nucleic acid contract manufacturing and research and development, pathology, companion diagnostics, reagent partnership, and biomolecular analysis businesses. The Agilent CrossLab segment provides GC and LC columns, sample preparation products, custom chemistries, and laboratory instrument supplies; and offers services portfolio, including repairs, parts, maintenance, installations, training, compliance support, software as a service, asset management, and consulting services. The company markets its products through direct sales, distributors, resellers, manufacturer's representatives, and electronic commerce. Agilent Technologies, Inc. was incorporated in 1999 and is headquartered in Santa Clara, California.",17600,8,4,4,9,8,133.25,135.3,96.8,155.35,0.94,0.2185,1.068,31.97986,23.470434,1662858,1662858,1757696,39374606336,5.9739957,139.8332,130.15344,290634675,291760992,4238036,4119446,0.9236,3.07,0.0164,291760992,21.311,6.332645,0.02,39932137472,0.18844,1242000000,4.22,5.75,5.13,6.059,24.772,0.1257075,0.236,134.955,153,125,137.28,135.5,2.5,buy,16,1671000064,5.727,1612000000,2726000128,1.491,2.147,6591000064,43.869,22.533,0.07818,0.20708999,924249984,1896000000,0.029,-0.084,0.50630003,0.24458,0.23712999,3.149
